"filename", "language", "TOML", "Rust", "Markdown", "comment", "blank", "total"
"c:\Projects\personal\rust\fae_factory\Cargo.lock", "TOML", 3658, 0, 0, 2, 389, 4049
"c:\Projects\personal\rust\fae_factory\Cargo.toml", "TOML", 18, 0, 0, 3, 6, 27
"c:\Projects\personal\rust\fae_factory\README.md", "Markdown", 0, 0, 2, 0, 1, 3
"c:\Projects\personal\rust\fae_factory\rust-toolchain.toml", "TOML", 2, 0, 0, 0, 1, 3
"c:\Projects\personal\rust\fae_factory\src\common.rs", "Rust", 0, 46, 0, 0, 13, 59
"c:\Projects\personal\rust\fae_factory\src\crafting.rs", "Rust", 0, 101, 0, 6, 12, 119
"c:\Projects\personal\rust\fae_factory\src\input\camera.rs", "Rust", 0, 31, 0, 8, 10, 49
"c:\Projects\personal\rust\fae_factory\src\input\keyboard.rs", "Rust", 0, 29, 0, 0, 6, 35
"c:\Projects\personal\rust\fae_factory\src\input\mod.rs", "Rust", 0, 13, 0, 0, 5, 18
"c:\Projects\personal\rust\fae_factory\src\input\mouse.rs", "Rust", 0, 27, 0, 0, 7, 34
"c:\Projects\personal\rust\fae_factory\src\items.rs", "Rust", 0, 101, 0, 13, 20, 134
"c:\Projects\personal\rust\fae_factory\src\main.rs", "Rust", 0, 47, 0, 0, 4, 51
"c:\Projects\personal\rust\fae_factory\src\player.rs", "Rust", 0, 80, 0, 0, 16, 96
"c:\Projects\personal\rust\fae_factory\src\recipes.rs", "Rust", 0, 34, 0, 1, 6, 41
"c:\Projects\personal\rust\fae_factory\src\structures\assembler.rs", "Rust", 0, 58, 0, 1, 7, 66
"c:\Projects\personal\rust\fae_factory\src\structures\mod.rs", "Rust", 0, 102, 0, 2, 17, 121
"Total", "-", 3678, 669, 2, 36, 520, 4905
